model,date,actual_change,predicted_change,actual_direction,predicted_direction,mae_bp,error_bp,actual_label,predicted_label
multi_frequency_lstm,2024-10-01,-0.06999999999999984,0.004879100248217583,0,1,7.487910024821742,7.487910024821742,fall,flat
multi_frequency_lstm,2024-10-02,0.04999999999999982,-0.011433114297688007,2,0,6.143311429768783,-6.143311429768783,rise,fall
multi_frequency_lstm,2024-10-03,0.06000000000000005,0.004398851189762354,2,1,5.56011488102377,-5.56011488102377,rise,flat
multi_frequency_lstm,2024-10-04,0.1299999999999999,0.012204829603433609,2,2,11.779517039656628,-11.779517039656628,rise,rise
multi_frequency_lstm,2024-10-07,0.050000000000000266,0.018938608467578888,2,2,3.106139153242138,-3.106139153242138,rise,rise
multi_frequency_lstm,2024-10-08,0.009999999999999787,0.018564769998192787,1,2,0.8564769998193,0.8564769998193,flat,rise
multi_frequency_lstm,2024-10-09,0.019999999999999574,0.012931865639984608,2,2,0.7068134360014966,-0.7068134360014966,rise,rise
multi_frequency_lstm,2024-10-10,0.03000000000000025,0.012716014869511127,2,2,1.7283985130489121,-1.7283985130489121,rise,rise
multi_frequency_lstm,2024-10-11,-0.009999999999999787,0.011041578836739063,1,2,2.104157883673885,2.104157883673885,flat,rise
multi_frequency_lstm,2024-10-15,-0.04999999999999982,0.01380433514714241,0,2,6.380433514714223,6.380433514714223,fall,rise
multi_frequency_lstm,2024-10-16,-0.010000000000000675,0.012028580531477928,0,2,2.2028580531478603,2.2028580531478603,fall,rise
multi_frequency_lstm,2024-10-17,0.07000000000000028,0.010625209659337997,2,2,5.937479034066229,-5.937479034066229,rise,rise
multi_frequency_lstm,2024-10-18,-0.009999999999999787,0.023277776315808296,1,2,3.3277776315808083,3.3277776315808083,flat,rise
multi_frequency_lstm,2024-10-21,0.11000000000000032,0.011720459908246994,2,2,9.827954009175333,-9.827954009175333,rise,rise
multi_frequency_lstm,2024-10-22,0.009999999999999787,0.019345343112945557,1,2,0.934534311294577,0.934534311294577,flat,rise
multi_frequency_lstm,2024-10-23,0.040000000000000036,0.010894923470914364,2,2,2.910507652908567,-2.910507652908567,rise,rise
multi_frequency_lstm,2024-10-24,-0.03000000000000025,0.008120941929519176,0,1,3.8120941929519425,3.8120941929519425,fall,flat
multi_frequency_lstm,2024-10-25,0.040000000000000036,-0.002203800017014146,2,1,4.220380001701418,-4.220380001701418,rise,flat
multi_frequency_lstm,2024-10-28,0.03000000000000025,0.004895534832030535,2,1,2.5104465167969714,-2.5104465167969714,rise,flat
multi_frequency_lstm,2024-10-29,0.0,0.0006847218610346317,1,1,0.06847218610346317,0.06847218610346317,flat,flat
multi_frequency_lstm,2024-10-30,0.009999999999999787,-0.0006155540468171239,1,1,1.061555404681691,-1.061555404681691,flat,flat
multi_frequency_lstm,2024-10-31,-0.009999999999999787,-0.004509672522544861,1,1,0.5490327477454926,0.5490327477454926,flat,flat
multi_frequency_lstm,2024-11-01,0.08999999999999986,-0.003479121020063758,2,1,9.347912102006362,-9.347912102006362,rise,flat
multi_frequency_lstm,2024-11-04,-0.0600000000000005,0.010183685459196568,0,2,7.0183685459197065,7.0183685459197065,fall,rise
multi_frequency_lstm,2024-11-05,-0.04999999999999982,0.0019313136581331491,0,1,5.193131365813297,5.193131365813297,fall,flat
multi_frequency_lstm,2024-11-06,0.16000000000000014,-0.0014041985850781202,2,1,16.140419858507826,-16.140419858507826,rise,flat
multi_frequency_lstm,2024-11-07,-0.11000000000000032,0.026184167712926865,0,2,13.618416771292718,13.618416771292718,fall,rise
multi_frequency_lstm,2024-11-08,-0.009999999999999787,0.0035053743049502373,1,1,1.3505374304950024,1.3505374304950024,flat,flat
multi_frequency_lstm,2024-11-12,0.1299999999999999,2.7232114007347263e-05,2,1,12.997276788599255,-12.997276788599255,rise,flat
multi_frequency_lstm,2024-11-13,0.010000000000000675,0.013472284190356731,2,2,0.34722841903560564,0.34722841903560564,rise,rise
multi_frequency_lstm,2024-11-14,-0.010000000000000675,0.00110946677159518,0,1,1.1109466771595855,1.1109466771595855,fall,flat
multi_frequency_lstm,2024-11-15,0.0,-0.0019893499556928873,1,1,0.19893499556928873,-0.19893499556928873,flat,flat
multi_frequency_lstm,2024-11-18,-0.009999999999999787,0.0012056962586939335,1,1,1.120569625869372,1.120569625869372,flat,flat
multi_frequency_lstm,2024-11-19,-0.03000000000000025,0.0074766878969967365,0,1,3.7476687896996985,3.7476687896996985,fall,flat
multi_frequency_lstm,2024-11-20,0.020000000000000462,0.0007773933466523886,2,1,1.9222606653348073,-1.9222606653348073,rise,flat
multi_frequency_lstm,2024-11-21,0.019999999999999574,-0.0030459377449005842,2,1,2.304593774490016,-2.304593774490016,rise,flat
multi_frequency_lstm,2024-11-22,-0.019999999999999574,0.0021393990609794855,0,1,2.213939906097906,2.213939906097906,fall,flat
multi_frequency_lstm,2024-11-25,-0.14000000000000057,-0.0017945815343409777,0,1,13.820541846565959,13.820541846565959,fall,flat
multi_frequency_lstm,2024-11-26,0.03000000000000025,-0.007021597120910883,2,1,3.702159712091113,-3.702159712091113,rise,flat
multi_frequency_lstm,2024-11-27,-0.04999999999999982,-0.0006427144980989397,0,1,4.935728550190088,4.935728550190088,fall,flat
multi_frequency_lstm,2024-11-29,-0.07000000000000028,0.0015271410811692476,0,1,7.152714108116953,7.152714108116953,fall,flat
multi_frequency_lstm,2024-12-02,0.010000000000000675,0.004394675139337778,2,1,0.5605324860662897,-0.5605324860662897,rise,flat
multi_frequency_lstm,2024-12-03,0.040000000000000036,0.009698288515210152,2,1,3.0301711484789884,-3.0301711484789884,rise,flat
multi_frequency_lstm,2024-12-04,-0.040000000000000036,0.011529502458870411,0,2,5.152950245887045,5.152950245887045,fall,rise
multi_frequency_lstm,2024-12-05,-0.020000000000000462,-0.008665088564157486,0,1,1.1334911435842976,1.1334911435842976,fall,flat
multi_frequency_lstm,2024-12-06,-0.019999999999999574,-0.006546340882778168,0,1,1.3453659117221406,1.3453659117221406,fall,flat
multi_frequency_lstm,2024-12-09,0.04999999999999982,-0.005577035713940859,2,1,5.557703571394068,-5.557703571394068,rise,flat
multi_frequency_lstm,2024-12-10,0.019999999999999574,0.003393332939594984,2,1,1.660666706040459,-1.660666706040459,rise,flat
multi_frequency_lstm,2024-12-11,0.040000000000000036,-0.001665022922679782,2,1,4.166502292267982,-4.166502292267982,rise,flat
multi_frequency_lstm,2024-12-12,0.0600000000000005,0.0027919444255530834,2,1,5.720805557444741,-5.720805557444741,rise,flat
multi_frequency_lstm,2024-12-13,0.08000000000000007,0.0038729875814169645,2,1,7.612701241858311,-7.612701241858311,rise,flat
multi_frequency_lstm,2024-12-16,-0.010000000000000675,0.00360338413156569,0,1,1.3603384131566365,1.3603384131566365,fall,flat
multi_frequency_lstm,2024-12-17,0.010000000000000675,-0.005541494581848383,2,1,1.5541494581849058,-1.5541494581849058,rise,flat
multi_frequency_lstm,2024-12-18,0.09999999999999964,-0.006396069657057524,2,1,10.639606965705717,-10.639606965705717,rise,flat
multi_frequency_lstm,2024-12-19,0.07000000000000028,0.003274761838838458,2,1,6.672523816116183,-6.672523816116183,rise,flat
multi_frequency_lstm,2024-12-20,-0.05000000000000071,0.007474333047866821,0,1,5.747433304786753,5.747433304786753,fall,flat
multi_frequency_lstm,2024-12-23,0.07000000000000028,0.0023478269577026367,2,1,6.765217304229765,-6.765217304229765,rise,flat
multi_frequency_lstm,2024-12-24,0.0,0.003355238353833556,1,1,0.3355238353833556,0.3355238353833556,flat,flat
multi_frequency_lstm,2024-12-26,-0.009999999999999787,0.003107706317678094,1,1,1.310770631767788,1.310770631767788,flat,flat
multi_frequency_lstm,2024-12-27,0.040000000000000036,0.0014875028282403946,2,1,3.851249717175964,-3.851249717175964,rise,flat
multi_frequency_lstm,2024-12-30,-0.07000000000000028,0.0008782417862676084,0,1,7.087824178626789,7.087824178626789,fall,flat
multi_frequency_lstm,2024-12-31,0.03000000000000025,0.010392281226813793,2,2,1.9607718773186456,-1.9607718773186456,rise,rise
multi_frequency_lstm,2025-01-02,-0.009999999999999787,0.0066137188114225864,1,1,1.6613718811422373,1.6613718811422373,flat,flat
multi_frequency_lstm,2025-01-03,0.02999999999999936,0.012895826250314713,2,2,1.7104173749684648,-1.7104173749684648,rise,rise
multi_frequency_lstm,2025-01-06,0.020000000000000462,0.015722360461950302,2,2,0.427763953805016,-0.427763953805016,rise,rise
multi_frequency_lstm,2025-01-07,0.04999999999999982,0.017643723636865616,2,2,3.2356276363134207,-3.2356276363134207,rise,rise
multi_frequency_lstm,2025-01-08,0.0,0.02128036506474018,1,2,2.128036506474018,2.128036506474018,flat,rise
multi_frequency_lstm,2025-01-09,0.009999999999999787,0.016499292105436325,1,2,0.6499292105436538,0.6499292105436538,flat,rise
multi_frequency_lstm,2025-01-10,0.08999999999999986,0.011747696436941624,2,2,7.825230356305823,-7.825230356305823,rise,rise
multi_frequency_lstm,2025-01-13,0.020000000000000462,0.019352896139025688,2,2,0.06471038609747737,-0.06471038609747737,rise,rise
multi_frequency_lstm,2025-01-14,-0.009999999999999787,0.010178904980421066,1,2,2.0178904980420853,2.0178904980420853,flat,rise
multi_frequency_lstm,2025-01-15,-0.1200000000000001,0.004130347166210413,0,1,12.413034716621052,12.413034716621052,fall,flat
multi_frequency_lstm,2025-01-16,-0.04999999999999982,0.001178542384877801,0,1,5.117854238487762,5.117854238487762,fall,flat
multi_frequency_lstm,2025-01-17,0.0,0.005560900084674358,1,1,0.5560900084674358,0.5560900084674358,flat,flat
multi_frequency_lstm,2025-01-21,-0.040000000000000036,0.020010516047477722,0,2,6.001051604747776,6.001051604747776,fall,rise
multi_frequency_lstm,2025-01-22,0.02999999999999936,0.016963783651590347,2,2,1.3036216348409013,-1.3036216348409013,rise,rise
multi_frequency_lstm,2025-01-23,0.05000000000000071,0.013515356928110123,2,2,3.648464307189059,-3.648464307189059,rise,rise
multi_frequency_lstm,2025-01-24,-0.020000000000000462,0.008379415608942509,0,1,2.837941560894297,2.837941560894297,fall,flat
multi_frequency_lstm,2025-01-27,-0.09999999999999964,-0.0028140174690634012,0,1,9.718598253093624,9.718598253093624,fall,flat
multi_frequency_lstm,2025-01-28,0.019999999999999574,-0.005869186017662287,2,1,2.586918601766186,-2.586918601766186,rise,flat
multi_frequency_lstm,2025-01-29,0.0,0.007535725831985474,1,1,0.7535725831985474,0.7535725831985474,flat,flat
multi_frequency_lstm,2025-01-30,-0.03000000000000025,0.005437743850052357,0,1,3.5437743850052605,3.5437743850052605,fall,flat
multi_frequency_lstm,2025-01-31,0.0600000000000005,-0.0020242531318217516,2,1,6.202425313182225,-6.202425313182225,rise,flat
multi_frequency_lstm,2025-02-03,-0.040000000000000036,0.008881652727723122,0,1,4.888165272772316,4.888165272772316,fall,flat
multi_frequency_lstm,2025-02-04,-0.020000000000000462,-0.004294578451663256,0,1,1.5705421548337206,1.5705421548337206,fall,flat
multi_frequency_lstm,2025-02-05,-0.08999999999999986,-0.008403396233916283,0,1,8.159660376608358,8.159660376608358,fall,flat
multi_frequency_lstm,2025-02-06,0.020000000000000462,-0.01146666519343853,2,0,3.146666519343899,-3.146666519343899,rise,fall
multi_frequency_lstm,2025-02-07,0.040000000000000036,-0.002606209833174944,2,1,4.260620983317498,-4.260620983317498,rise,flat
multi_frequency_lstm,2025-02-10,0.019999999999999574,0.00944661907851696,2,1,1.0553380921482614,-1.0553380921482614,rise,flat
multi_frequency_lstm,2025-02-11,0.03000000000000025,0.0028037165757268667,2,1,2.719628342427338,-2.719628342427338,rise,flat
multi_frequency_lstm,2025-02-12,0.08000000000000007,0.0008089880575425923,2,1,7.919101194245748,-7.919101194245748,rise,flat
multi_frequency_lstm,2025-02-13,-0.10000000000000053,0.007951861247420311,0,1,10.795186124742084,10.795186124742084,fall,flat
multi_frequency_lstm,2025-02-14,-0.04999999999999982,-0.018566925078630447,0,0,3.1433074921369375,3.1433074921369375,fall,fall
multi_frequency_lstm,2025-02-18,0.08000000000000007,-0.011032932437956333,2,0,9.10329324379564,-9.10329324379564,rise,fall
multi_frequency_lstm,2025-02-19,-0.019999999999999574,0.007321385201066732,0,1,2.7321385201066306,2.7321385201066306,fall,flat
multi_frequency_lstm,2025-02-20,-0.03000000000000025,-0.0014714788412675261,0,1,2.8528521158732723,2.8528521158732723,fall,flat
multi_frequency_lstm,2025-02-21,-0.08000000000000007,-0.002875284058973193,0,1,7.712471594102688,7.712471594102688,fall,flat
multi_frequency_lstm,2025-02-24,-0.019999999999999574,-0.008598297834396362,0,1,1.1401702165603211,1.1401702165603211,fall,flat
multi_frequency_lstm,2025-02-25,-0.10000000000000053,-0.005499063525348902,0,1,9.450093647465163,9.450093647465163,fall,flat
multi_frequency_lstm,2025-02-26,-0.04999999999999982,-0.004607119131833315,0,1,4.539288086816651,4.539288086816651,fall,flat
multi_frequency_lstm,2025-02-27,0.040000000000000036,0.005696834530681372,2,1,3.4303165469318664,-3.4303165469318664,rise,flat
multi_frequency_lstm,2025-02-28,-0.04999999999999982,0.015531194396317005,0,2,6.553119439631683,6.553119439631683,fall,rise
multi_frequency_lstm,2025-03-03,-0.08000000000000007,0.0026871070731431246,0,1,8.26871070731432,8.26871070731432,fall,flat
multi_frequency_lstm,2025-03-04,0.05999999999999961,-0.00012922333553433418,2,1,6.012922333553394,-6.012922333553394,rise,flat
multi_frequency_lstm,2025-03-05,0.0600000000000005,0.004902273416519165,2,1,5.509772658348133,-5.509772658348133,rise,flat
multi_frequency_lstm,2025-03-06,0.009999999999999787,0.007275413256138563,1,1,0.27245867438612237,-0.27245867438612237,flat,flat
