scenario,3M,6M,1Y,2Y,5Y,10Y,30Y
63,3.9518476734511014,3.991552422267074,4.134548357302666,4.37719525578715,4.5439238507172925,4.767676368906012,5.1946682159790445
64,3.9607814362134994,4.001841150041658,4.1389544145803026,4.35317893461635,4.548710738765462,4.812544387765692,5.248238013464301
65,3.942981410153212,3.9562733101450362,4.145423956163466,4.35840895246193,4.520294929074929,4.751191334005772,5.224807622368122
66,3.9149587464503792,3.976857675708763,4.139232067311491,4.387170055884591,4.560000400474864,4.807707517565105,5.257767254370074
67,3.9855269689424673,4.023974615201297,4.212587040026839,4.463217168956269,4.6628277200925075,4.852309302646755,5.278496675445194
68,3.947882633049873,3.9958583024978878,4.161431489530523,4.423071430440458,4.609468544635354,4.849366605341861,5.2970124507170935
69,3.9437978736973935,4.006158923447468,4.186547943373002,4.361945729725195,4.521815374917991,4.7415019592177465,5.210199509199519
70,3.948686908437137,3.9949268325429204,4.125546972276894,4.384774276439234,4.5528003636932,4.771809950445481,5.233132810866777
71,3.9278874368182404,3.978569913278358,4.140028350213179,4.3606967469737645,4.5143908349385296,4.7730350150795,5.210181334100856
72,3.949635108932745,4.027525291587994,4.196770150562689,4.453975794566323,4.582154089123736,4.791367724921345,5.2420765231505975
73,4.008166013261343,4.059825497149337,4.20772688496167,4.458691027892447,4.659329331364507,4.943978451238632,5.393189028976715
74,3.943870487013436,3.998419323233812,4.16636618979704,4.401593105421276,4.573597065166671,4.817323572773291,5.27486960109934
75,3.9137329148783033,3.950579214389756,4.101638030759169,4.365168463098712,4.545306314660399,4.762728718879155,5.240367281225081
76,3.9313612234967756,3.979976331788006,4.136964124635428,4.40225826829604,4.568308258138235,4.828381434148828,5.308428107143057
77,3.915776322302019,3.984369693541674,4.16954419914681,4.4193230240724475,4.5831869669461565,4.8390318231068115,5.261351870427416
78,3.965370406608148,4.03135275984864,4.187407175284267,4.445421846760428,4.611546885482879,4.819986439092869,5.260361463003312
79,3.9717551420477477,4.0151844221508135,4.1693592797230385,4.387282601678278,4.557353343523184,4.783616467247757,5.247752724062357
80,3.9299841541219536,3.990824316955025,4.10137444349266,4.343304004058634,4.488353943089409,4.7263408404785165,5.159706762061115
81,3.9558079208648325,3.9824107677214724,4.142422145236456,4.395860457830578,4.570773193848354,4.809599571356621,5.26572686085521
82,3.9586533109463127,3.9928182269145944,4.137632904043388,4.410502179632914,4.592147615344824,4.84786961046112,5.284515929533419
83,3.97920346709477,4.033724074220581,4.181963445495444,4.391937053612483,4.534126957306959,4.798813754856088,5.242928426933451
84,3.9420210302087493,4.009011206237525,4.174657086461663,4.461637124664299,4.6093856479998125,4.832313046898375,5.30964438500887
85,3.9009926581264844,3.96858727151609,4.117927740949182,4.4049376612894084,4.54710946925522,4.7932265811037995,5.273066224225483
86,3.9649768680334123,4.027317257319534,4.16687099995196,4.391385941092242,4.58228612215189,4.834670288455074,5.2647646354107716
87,3.9391470141675264,3.9854886844701376,4.1497214418151485,4.378071621339298,4.509592800335066,4.746015691000388,5.1935191125487234
88,3.9751716744114933,4.0080353984804855,4.134362636653506,4.402088029070697,4.542860915589052,4.779758340313679,5.218164243201727
89,3.9174570196852616,3.9951652693182607,4.150731986751625,4.3687867151805575,4.542692036535753,4.769503479472519,5.231411916876656
90,3.9405022418766866,3.9935512956361894,4.144091417060882,4.436181166398447,4.576125950060834,4.835224518629636,5.289770089082194
91,3.9040699632100555,3.9397977724263895,4.064666973417124,4.327442437533677,4.5066174933684175,4.765185802062771,5.210228521288988
92,3.975336256524266,3.9812482047226,4.155402186628287,4.411984449206994,4.615639624460172,4.863223007405997,5.309726701224753
93,3.976940341283524,4.005740308088215,4.131252661690731,4.397984482109825,4.596926675666221,4.8123509389959835,5.272270189674685
94,3.899903208215873,3.9786071874041777,4.1303246618582445,4.395820497712539,4.577231828722743,4.813898480725873,5.285623347197618
95,3.916394339266829,3.98844355695417,4.134201185853674,4.377653223070206,4.537831975292921,4.749239463204015,5.181699152338677
96,3.9913688006471113,4.0534374525861665,4.19546337460382,4.438409027215002,4.652126279748006,4.882276415813735,5.291991207237602
97,3.993937124390398,4.017153251880801,4.184658436865256,4.429122426971052,4.589631222557187,4.807696683370633,5.2941769207740075
98,3.9319399392650807,4.008535080858407,4.149333341313943,4.379098906468751,4.560783727107132,4.819715609379157,5.286374840229226
99,3.9164141606196843,3.9663474529551213,4.108709288975172,4.358677033300495,4.5437338864442784,4.774953090283374,5.243500331683888
100,3.978268644778386,4.032708914193101,4.1650977845686485,4.484324602302166,4.678762464405826,4.902103640428465,5.316816018243379
101,3.930227402049636,3.985419959472268,4.130418376044831,4.389721085935685,4.523206622121651,4.7467555764920535,5.205055531485286
102,3.957343858093157,4.006783337790446,4.134554068979325,4.380769631074282,4.538281425129129,4.77269758649382,5.2446615660850835
103,3.9364200154991567,4.02220335800812,4.172304180948288,4.432611028654094,4.591351997846644,4.794205583004144,5.23891211392818
104,3.9696412402178023,3.994744294243772,4.157777565115419,4.4101794037971835,4.548864743800989,4.72201206177811,5.169610551882421
